address,date_added,description,phone,price,seller,title
"Church Lane, Skelton, York, YO30",Added on 08/02/2021,"A sizeable Edwardian village house of considerable character, standing in mature gardens with garaging and ample off street parking.",01904 200057,"£1,100,000","Savills, York",4 bedroom detached house for sale
"Holme Road, Spaldington, Goole, DN14",,Excellent opportunity to acquire a smallholding with full planning consent for holiday lodge development extending to approximately 33.62 acres. (Further arable and woodland extending to approximately 90 acres available by separate negotiation).,01423 429071,"£1,100,000","Carter Jonas Rural, Yorkshire",Plot for sale
"Bedlam, Harrogate",Added on 04/02/2021,"An exclusive five bedroom, four bathroom newly built high quality individual stone family home one of only two houses on this prime site. Set in a sought after location close to Ripley and Harrogate the premier plot features Cavendish house built from natural stone under a blue slate roof. Curre...",01423 429025,"£1,100,000","Hopkinsons, Harrogate",5 bedroom detached house for sale
"Adel Wood Barn, Leeds",Added on 28/04/2021,"Are you looking for something special in North Leeds? With over 2 acres, Adel Wood Barn is a spectacular opportunity, ideal for purchasers looking for a home which is well suited to families with older children, multiple generations living together or a house to entertain from. ",0113 451 3118,"£1,100,000","Monroe Estate Agents, Leeds",4 bedroom barn conversion for sale
"Broomfield Road, Heaton Moor, Stockport, SK4",Added on 29/04/2021,"A MAGNIFICENT Cheshire interlocking SEMI DETACHED FAMILY HOME with a FULLY CONVERTED lower ground floor, boasting the perfect blend of MODERN LIVING IN A PERIOD HOME. Located on a PRESTIGIOUS ROAD within a MOMENTS STROLL of Heaton Moor Village. 3864 sq ft. The accommodation consists of a receptio...",0161 468 0316,"£1,100,000","Philip James Kennedy, Heaton Moor",6 bedroom semi-detached house for sale
"Upper Clay Pitts Farm, Clay Pitts Lane, Ripponden",Added on 18/05/2021,Upper Clay Pitts Farm is an impressive detached seven bedroom residence set within mature gardens and approximately nine acres of grazing land with a generous timber two storey barn. Being extended by the current owners to a high standard creating additional living and bedroom accommodation. Reta...,01422 757046,"£1,100,000","Charnock Bates, Halifax",6 bedroom detached house for sale
"North Lane, Sykehouse, Doncaster, DN14",Added on 04/10/2019,"VIRTUAL VIEWING TOUR AVAILABLE GUIDE PRICE £1,100,000 - £1,300,000 Rural bliss! If heaven were a place on earth, it would probably look like this. Rarely does a property of this quality come to market. Unique in design and location, this detached converted barn property offers internal luxur...",01302 960183,"£1,100,000","Preston Baker, Doncaster",5 bedroom detached house for sale
"Town House 5, Esplanade Mews, Clifford Street, York, North Yorkshire. YO1 9SH",Reduced on 11/05/2021,"RIVER VIEWS, LUXURY LIVING, TERRACE AND A 3 CAR GARAGE IN THE CITY CENTRE",01904 200080,"£1,100,000","Croft, York",4 bedroom town house for sale
"Bielby, York, YO42",Added on 21/05/2021,"A well-equipped small farm situated in an accessible, rural position near Bielby in the Vale of York. The property comprises a spacious 4 bedroom period house, a superb range of buildings, wind turbine, solar panels and is situated within 38.99 acres of land",01653 511031,"£1,100,000","Cundalls, Malton",4 bedroom character property for sale
"Oakwood Avenue, Oakwood",Added on 15/01/2021,For sale via the Modern Method of Auction is this excellent portfolio of 12 flats within large 3 converted Victorian terraced (freehold) properties. Most of these units are already tenanted. Oakwood Avenue is a lovely tree lined street behind Oakwood shops and just a few minutes walk from Roundha...,0113 451 0470,"£1,100,000","Dwell, Leeds",12 bedroom flat for sale
"Ryedale House, 58 -60, Piccadilly, York",Added on 25/03/2021,"Ryedale House is a newly converted development of residential apartments arranged over seven floors, with the advantage of secure undercroft residents parking and a grand entrance foyer with concierge service. Due to its stature and setting, Ryedale House offers unparalleled views across...",01904 200093,"£1,100,000","Ashtons Estate Agents, York",3 bedroom penthouse for sale
"Braythorne Fold Barn, Church Lane, Stainburn LS21 2LW",Added on 13/05/2021,DEVELOPMENT OPPORTUNITY - A rare opportunity to purchase an exceptional period stone built property benefitting from having planning permission for a contemporary barn conversion extention with glazed link. ,01423 429061,"£1,100,000","Linley & Simpson, New Homes, Yorkshire",4 bedroom barn for sale
"North Park Grove, Leeds, LS8",Added on 14/05/2021,"Stunning detached period property occupying a fabulous corner plot. An impressive period family home extending to over 3,700 sq ft and having undergone a full programme of renovations - designed with family living in mind. Situated in a highly sought after location in the heart of Roundhay, wi...",01423 429050,"£1,095,000","Knight Frank, Harrogate",6 bedroom detached house for sale
"Hillthorpe, Pudsey",Added on 01/04/2021,"House and Potential development opportunity. An exciting opportunity to acquire this impressive home and potential development site/plot. Set in grounds extending to approximately 5937sq.ft, Acres, it is considered that, subject to planning, the site offers various development potentials. The cur...",0113 451 3077,"£1,000,000","Hardisty Prestige, Horsforth",4 bedroom house for sale
"Hillthorpe, Pudsey",Added on 01/04/2021,"COMMANDING PERIOD PROPERTY WITH FABULOUS SWIMMING POOL & 40FT CONSERVATORY/ENTERTAINING SPACE - Large mature gardens, QUADRUPLE DETACHED GARAGE, large parking forecourt and other ancillary buildings. PADDOCK/LAND with potential for future development, subject to necessary Planning Permissions et...",0113 451 3077,"£1,000,000","Hardisty Prestige, Horsforth",4 bedroom house for sale
"Ferens Hall, Ferens Hall, Harland Way, Cottingham",,Outstanding Residential Development Opportunity,0113 451 3057,POA,,Land for sale
"Flatts Lane, Guisborough",,"A productive block of grade 3 arable, grassland and woods extending in total to about 172.18 acres (69.68 ha). Sown mainly to short term grass leys for hay production and winter arable crops Good public road access and internal tracks. Mains water available.",01642 268085,"£1,000,000","GSC Grays, Stokesley",Land for sale
"West Lilling, York, YO60",Reduced on 22/05/2021,"Rose Villa is a handsome, triple fronted home with extensive gardens, tennis court and garaging.",01904 200057,"£1,000,000","Savills, York",4 bedroom detached house for sale
"Holywell Farm, Wentworth Road, Kilnhurst, Mexborough, S64",Added on 05/05/2021,First class equestrian property with substantial house under construction.,01904 200057,"£1,000,000","Savills, York",Equestrian facility for sale
"West Wing, Ingmanthorpe Hall, York Road, Wetherby",Reduced on 16/10/2020,"West Wing is a stunning signature property within this popular Grade II Regency mansion, set in a beautiful rural location within commuting distance of Harrogate, York, Leeds and LBA. Less than 2 hours by rail from London. 350mb fibre broadband **Over 3700 sq ft **Period features, high ceilings. ...",01937 358011,"£1,000,000","Maxwell Hodgson Estate Agents, Wetherby",4 bedroom duplex for sale
"Mile End Close, Foulridge, Colne",Reduced on 26/05/2021,**AUCTION** This is an excellent opportunity to purchase a semi detached property on a popular and established development in Foulridge overlooking the Leeds & Liverpool canal. Conveniently located within a short distance from open countryside and a short drive of the M65 motorway which...,01282 934041,"£140,000","Petty Estate Agents Ltd, Colne",3 bedroom semi-detached house for sale
"Rectory Lane, Hotham",Added on 21/05/2021,"Guide Price £1,000,000 - £1,075,000. AMAZING! This spectacular property is bursting with superlative quality and bespoke fittings. Features include a stunning double length open plan living kitchen with a striking staircase and ""bridge"" which links bedroom areas. An abundance of glazing allow...",01482 750079,"£1,000,000","Matthew Limb Estate Agents Ltd, Brough",4 bedroom detached house for sale
"Birthwaite Hall, Huddersfield Road, Between Haigh And Darton Three Minutes Drive From, Barnsley",Reduced on 11/10/2019,"A BEAUTIFUL COUNTRY HOUSE PROUDLY OVERLOOKING ITS GARDENS, GROUNDS AND PADDOCKS, A HOME THAT HAS SUCH A RICH RECORDED HISTORY WHICH IS BELIEVED TO DATE BACK TO MEDIEVAL TIMES. BEING GRADE II LISTED THIS IMPORTANT AND SPLENDID HOME IS APPROACHED OVER A LONG SWEEPING DRIVEWAY WITH MAGNIFICENT ...",01484 977034,"£1,000,000","Simon Blyth, Holmfirth",8 bedroom character property for sale
DN8 5SZ,,"Residential Development Opportunity - Outline Planning for up to 30 private residential units. The site extends to 2.83 acres with direct frontage onto Thorne Road. The site is formed of two parcels, Title No. HS314338 a former agricultural machinery depot site and Title No.HS314358 is paddock land.",01302 960126,"£1,000,000",,Land for sale
"Ingmanthorpe Hall, Montagu Lane, Wetherby, LS22",Added on 21/10/2020,"A beautifully presented, unique residence formed from the west wing of a Grade II listed Regency mansion. Set in a stunning semi-rural location in North Yorkshire yet within one and a half miles of the market town of Wetherby.",01423 429100,"£1,000,000","Carter Jonas, Harrogate",4 bedroom property for sale
"Beech Grove, Harrogate",Added on 12/05/2021,"A unique, impressive and spacious three-bedroom penthouse apartment with phenomenal 360 degree views over Harrogate and The Stray, in one of Harrogate’s most sought-after and popular locations.",01423 429044,"£1,000,000","Strutt & Parker, Harrogate",3 bedroom penthouse for sale
"Valley Drive, Yarm, TS15 9JQ",Added on 17/02/2021,"STUNNING EXECUTIVE DETACHED PROPERTY situated on an extensive plot on this prestigious and exclusive development, with RIVER FRONTAGE and a timber jetty enjoying views of the River Leven and surrounding woodland. Valley Drive is one of Yarm's highly sought after and desirable locations, positio...",01642 268044,"£1,000,000","Gowland White, Yarm",5 bedroom detached house for sale
Land off Back Lane,Added on 11/11/2020,A POTENTIAL RESIDENTIAL DEVELOPMENT OPPORTUNITY (SUBJECT TO PLANNING). LOCATED ON THE EDGE OF THE ATTRACTIVE VILLAGE OF MELMERBY. COMPRISING APPROX. 1.20 ACRES (0.48 HA).,01423 429064,POA,"Lister Haigh, Harrogate",Property for sale
"Undercliffe House, Dunford Road, Holmfirth",Added on 27/11/2020,"A TRULY SPECIAL, SUBSTANTIAL, ASHLAR STONE FRONTED, DETACHED FAMILY RESIDENCE SET IN A PROMINENT POSITION OFF DUNFORD ROAD, HOLMFIRTH. UNDERCLIFFE HOUSE ENJOYS SCENIC VIEWS OVER THE VALLEY, FABULOUS GROUNDS AND IS BRIMMING WITH PERIOD CHARM AND CHARACTER FEATURES. OFFERING AN ABUNDANCE OF ACCOMMO...",01484 977034,"£1,000,000","Simon Blyth, Holmfirth",5 bedroom detached house for sale
"Pontefract Road, Ackworth, Pontefract, WF7",Reduced on 28/05/2021,"Greystone Gables is an exciting and rare opportunity to acquire a beautifully restored period family residence situated within this extremely popular village. The High Ackworth location offers access to a number highly regarded schools, including Ackworth School, Queen Elizabeth Grammar School...",01226 977065,"£1,000,000","Roebucks Estate Agents, Barnsley",5 bedroom detached house for sale
"Stepney Street, Sheffield, S2 5PB",,"Central Sheffield Residential Development Opportunity An opportunity to acquire a cleared development site in central
Sheffield with planning permission to create a unique development
of 100 apartments. Detailed planning consent granted Single building
Comprising 5 studio, 94no. 1 bed 1no. 2 b...",0113 451 0398,POA,"Knight Frank, Leeds - Commercial",Land for sale
"Wood End, Sheffield, S35 8RR",Reduced on 23/03/2021,"THERE IS SOMETHING QUITE MAGICAL ABOUT WHITLEY OAKS...STEP INSIDE THIS DECADENT AND CHARMING 4 BEDROOM DETACHED STONE PROPERTY DATING BACK TO THE 19TH CENTURY, SITTING IN CAPTIVATING, WELL MANICURED, WALLED GARDENS SURROUNDED BY WOODLAND. OPPORTUNITY TO PURHCASE EXTRA LAND/PADDOCK TOO WITH POTENT...",0114 257 8999,"£1,000,000","Hunters, Chapeltown",4 bedroom detached house for sale
"Allerthorpe, York, YO42 4RW",Reduced on 15/05/2021,"6 BED DETACHED FAMILY RESIDENCE COMPRISING 3 RECEPTIONS, GAMES ROOM, SIX DOUBLE BEDROOMS, 4 BATHROOMS - ATTACHED SELF CONTAINED ANNEXE COMPRISING KITCHEN/DINER, UTILITY ROOM, LOUNGE, TWO DOUBLE BEDROOMS, 2 BATHROOMS - OVER 5000 SQ FT IN TOTAL - 3.97 ACRES - EXTENDED & REFURBISHED BY CURRENT OWNERS ",01759 211020,"£1,000,000","Hunters, Pocklington",8 bedroom detached house for sale
"Manor Road, Hatfield",Added on 24/05/2021,"**FANTASTIC** On offer: a STUNNING FIVE-BED PROPERTY in a POPULAR LOCATION with c. 1.6 ACRES OF LAND, a TENNIS COURT and RURAL VIEWS. Has FOUR RECEPTION SPACES and a LEISURE WING with a SAUNA. **CLICK NOW!**",01777 597014,"£1,000,000","Open Door Property, South Wheatley",5 bedroom detached house for sale
